,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
1288,21830,ПАЖЕНЬ,ПАЖЕНЬ,Липецкая область,Московская,"('52.598536', '38.379663')",52.598536,38.379663
1289,21850,РУССКИЙ БРОД,РУССКИЙ БРОД,Орловская область,Московская,"('52.603098', '37.360835')",52.603098,37.360835
1290,21860,ЛИВНЫ I,ЛИВНЫ I,Орловская область,Московская,"('52.427076', '37.599464')",52.427076,37.599464
1291,21870,ЛИВНЫ II,ЛИВНЫ II,Орловская область,Московская,"('52.409128', '37.547107')",52.409128,37.547107
1292,21880,КОРОТЫШ,КОРОТЫШ,Орловская область,Московская,"('52.340499', '37.52145')",52.340499,37.52145
1293,21890,СТУДЕНЫЙ,СТУДЕНЫЙ,Орловская область,Московская,"('52.179411', '37.567369')",52.179411,37.567369
1294,21900,ДОЛГАЯ,ДОЛГАЯ,Орловская область,Московская,"('52.057662', '37.538891')",52.057662,37.538891
1295,22000,РЫБНОЕ,РЫБНОЕ,Рязанская область,Московская,"('54.730608', '39.505295')",54.730608,39.505295
1296,22020,ДЯГИЛЕВО,ДЯГИЛЕВО,Рязанская область,Московская,"('54.656912', '39.631313')",54.656912,39.631313
1297,22030,РЯЗАНЬ I,РЯЗАНЬ I,Рязанская область,Московская,"('54.63372', '39.71365')",54.63372,39.71365
1298,22050,ЛЕСОК,ЛЕСОК,Рязанская область,Московская,"('54.585834', '39.794446')",54.585834,39.794446
1299,22080,ПРОНЯ,ПРОНЯ,Рязанская область,Московская,"('54.298212', '40.243926')",54.298212,40.243926
1300,22090,ШЕЛУХОВО,ШЕЛУХОВО,Рязанская область,Московская,"('54.281223', '40.548142')",54.281223,40.548142
1301,22110,ШИЛОВО,ШИЛОВО,Рязанская область,Московская,"('54.320775', '40.888281')",54.320775,40.888281
1302,22150,КАСИМОВ,КАСИМОВ,Рязанская область,Московская,"('54.895907', '41.323734')",54.895907,41.323734
1303,22160,НАЗАРОВКА,НАЗАРОВКА,Рязанская область,Московская,"('54.30114', '41.297215')",54.30114,41.297215
1304,22170,ЧУЧКОВО,ЧУЧКОВО,Рязанская область,Московская,,,
1305,22180,НИЖНЕМАЛЬЦ,НИЖНЕМАЛЬЦЕВО,Рязанская область,Московская,"('54.272661', '41.697544')",54.272661,41.697544
1306,22190,СОТНИЦЫНО,СОТНИЦЫНО,Рязанская область,Московская,"('54.284892', '41.788691')",54.284892,41.788691
1307,22200,САСОВО,САСОВО,Рязанская область,Московская,"('54.347458', '41.93169')",54.347458,41.93169
1308,22210,БЕРЕСТЯНКИ,БЕРЕСТЯНКИ,Рязанская область,Московская,"('54.335416', '41.986917')",54.335416,41.986917
1309,22220,КУСТАРЕВКА,КУСТАРЕВКА,Рязанская область,Московская,"('54.263852', '42.265566')",54.263852,42.265566
1310,22240,СВЕЖЕНЬКАЯ,СВЕЖЕНЬКАЯ,Республика Мордовия,Московская,"('54.008041', '42.430404')",54.008041,42.430404
1311,22250,ИЗВЕСТЬ,ИЗВЕСТЬ,Республика Мордовия,Московская,"('53.935548', '42.445834')",53.935548,42.445834
1312,22260,ВЫША,ВЫША,Республика Мордовия,Московская,"('53.852289', '42.37671')",53.852289,42.37671
1313,22280,РЯЗАНЬ II,РЯЗАНЬ II,Рязанская область,Московская,"('54.627958', '39.698011')",54.627958,39.698011
1314,22290,РЯЗАНЬ-ОКА-ПР,РЯЗАНЬ-ОКА-ПРИСТАНЬ,Рязанская область,Московская,"('54.654442', '39.725546')",54.654442,39.725546
1315,22310,СТЕНЬКИНО II,СТЕНЬКИНО II,Рязанская область,Московская,"('54.546732', '39.747573')",54.546732,39.747573
1316,22320,ДЕНЕЖНИКОВО,ДЕНЕЖНИКОВО,Рязанская область,Московская,"('54.472186', '39.790999')",54.472186,39.790999
1317,22330,СТАРОЖИЛОВО,СТАРОЖИЛОВО,Рязанская область,Московская,"('54.28179', '39.92887')",54.28179,39.92887
1318,22340,ХРУЩЕВО,ХРУЩЕВО,Рязанская область,Московская,"('54.174704', '39.99267')",54.174704,39.99267
1319,22350,ЧЕМОДАНОВКА,ЧЕМОДАНОВКА,Рязанская область,Московская,"('54.086776', '39.986409')",54.086776,39.986409
1320,22370,КОРАБЛИНО,КОРАБЛИНО,Рязанская область,Московская,"('53.921144', '40.019254')",53.921144,40.019254
1321,22380,РЯЖСК I,РЯЖСК I,Рязанская область,Московская,"('53.708735', '40.10424')",53.708735,40.10424
1322,22420,УЗЛОВАЯ I,УЗЛОВАЯ I,Тульская область,Московская,"('53.975698', '38.174761')",53.975698,38.174761
1323,22430,УЗЛОВАЯ II,УЗЛОВАЯ II,Тульская область,Московская,"('53.94705', '38.164805')",53.94705,38.164805
1324,22440,УЗЛОВАЯ III,УЗЛОВАЯ III,Тульская область,Московская,"('54.009078', '38.115881')",54.009078,38.115881
1325,22460,ЖДАНКА,ЖДАНКА,Тульская область,Московская,"('53.778999', '38.111034')",53.778999,38.111034
1326,22470,ТОВАРКОВО,ТОВАРКОВО,Тульская область,Московская,"('53.688985', '38.170737')",53.688985,38.170737
1327,22480,ВОЛОВО,ВОЛОВО,Тульская область,Московская,"('53.558893', '37.993373')",53.558893,37.993373
1328,22500,ТУРДЕЙ,ТУРДЕЙ,Тульская область,Московская,"('53.366893', '38.070769')",53.366893,38.070769
1329,22520,МАЛ АНДРЕЕВ,МАЛАЯ АНДРЕЕВКА,Тульская область,Московская,"('53.282665', '38.092311')",53.282665,38.092311
1330,22530,ЕФРЕМОВ,ЕФРЕМОВ,Тульская область,Московская,"('53.149301', '38.125929')",53.149301,38.125929
1331,22560,БОБРИК-ДОНСК,БОБРИК-ДОНСКОЙ,Тульская область,Московская,"('53.963577', '38.310447')",53.963577,38.310447
1332,22570,СБОРНАЯ-УГ,СБОРНАЯ-УГОЛЬНАЯ,Тульская область,Московская,"('53.99059', '38.29999')",53.99059,38.29999
1333,22580,УРВАНКА,УРВАНКА,Тульская область,Московская,"('54.023215', '38.257051')",54.023215,38.257051
