,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД
1,1000,ПЕТРОЗАВОДСК,ПЕТРОЗАВОДСК,Республика Карелия,Октябрьская
2,1030,ТОМИЦЫ,ТОМИЦЫ,Республика Карелия,Октябрьская
3,1040,ШУЙСКАЯ,ШУЙСКАЯ,Республика Карелия,Октябрьская
4,1050,СУНА,СУНА,Республика Карелия,Октябрьская
5,1060,ЗАДЕЛЬЕ,ЗАДЕЛЬЕ,Республика Карелия,Октябрьская
6,1070,КОНДОПОГА,КОНДОПОГА,Республика Карелия,Октябрьская
7,1080,КЕДРОЗЕРО,КЕДРОЗЕРО,Республика Карелия,Октябрьская
8,1150,НОВЫЙ ПОСЕЛОК,НОВЫЙ ПОСЕЛОК,Республика Карелия,Октябрьская
9,1090,НИГОЗЕРО,НИГОЗЕРО,Республика Карелия,Октябрьская
10,1100,КЯППЕСЕЛЬГА,КЯППЕСЕЛЬГА,Республика Карелия,Октябрьская
11,1110,ПЕРГУБА,ПЕРГУБА,Республика Карелия,Октябрьская
12,1130,МЕДВЕЖ ГОРА,МЕДВЕЖЬЯ ГОРА,Республика Карелия,Октябрьская
13,1140,ВИЧКА,ВИЧКА,Республика Карелия,Октябрьская
14,1180,СЕГЕЖА,СЕГЕЖА,Республика Карелия,Октябрьская
15,1190,НАДВОИЦЫ,НАДВОИЦЫ,Республика Карелия,Октябрьская
16,1200,КОЧКОМА,КОЧКОМА,Республика Карелия,Октябрьская
17,1210,ИДЕЛЬ,ИДЕЛЬ,Республика Карелия,Октябрьская
18,1220,ЛЕТНИЙ,ЛЕТНИЙ,Республика Карелия,Октябрьская
19,1230,СОСНОВЕЦ,СОСНОВЕЦ,Республика Карелия,Октябрьская
20,1270,СУМСКИЙ ПОСАД,СУМСКИЙ ПОСАД,Республика Карелия,Октябрьская
21,1280,МЕДВЕЖ Г-ПЕР,МЕДВЕЖЬЯ ГОРА (ПЕРЕВ.),Республика Карелия,Октябрьская
22,1300,БЕЛОМОРСК,БЕЛОМОРСК,Республика Карелия,Октябрьская
23,1320,КЕМЬ,КЕМЬ,Республика Карелия,Октябрьская
24,1350,КУЗЕМА,КУЗЕМА,Республика Карелия,Октябрьская
25,1360,ЭНГОЗЕРО,ЭНГОЗЕРО,Республика Карелия,Октябрьская
26,1370,АМБАРНЫЙ,АМБАРНЫЙ,Республика Карелия,Октябрьская
27,1380,ЛОУХИ,ЛОУХИ,Республика Карелия,Октябрьская
28,1410,ПЯОЗЕРО,ПЯОЗЕРО,Республика Карелия,Октябрьская
29,1430,ЧУПА,ЧУПА,Республика Карелия,Октябрьская
30,1440,КНЯЖАЯ,КНЯЖАЯ,Мурманская область,Октябрьская
31,1470,АЛАКУРТТИ,АЛАКУРТТИ,Мурманская область,Октябрьская
32,1480,БЕЛОЕ МОРЕ,БЕЛОЕ МОРЕ,Мурманская область,Октябрьская
33,1490,КАНДАЛАКША,КАНДАЛАКША,Мурманская область,Октябрьская
34,1500,КАНДАЛАК-ПЕР,КАНДАЛАКША (ПЕРЕВ.),Мурманская область,Октябрьская
35,1510,ПИНОЗЕРО,ПИНОЗЕРО,Мурманская область,Октябрьская
36,1520,ЕНА,ЕНА,Мурманская область,Октябрьская
37,1540,КОВДОР,КОВДОР,Мурманская область,Октябрьская
38,1550,ПОЛЯРНЫЕ ЗОРИ,ПОЛЯРНЫЕ ЗОРИ,Мурманская область,Октябрьская
39,1560,АФРИКАНДА,АФРИКАНДА,Мурманская область,Октябрьская
40,1570,КАНДАЛАК-Э,КАНДАЛАКША (ЭКСП.),Мурманская область,Октябрьская
41,1580,ТИТАН,ТИТАН,Мурманская область,Октябрьская
42,1600,АПАТИТЫ,АПАТИТЫ,Мурманская область,Октябрьская
43,1630,ОЛЕНЕГОРСК,ОЛЕНЕГОРСК,Мурманская область,Октябрьская
44,1640,МОНЧЕГОРСК,МОНЧЕГОРСК,Мурманская область,Октябрьская
45,1660,ЛАПЛАНДИЯ,ЛАПЛАНДИЯ,Мурманская область,Октябрьская
46,1700,КОЛА,КОЛА,Мурманская область,Октябрьская
47,1710,МУРМАШИ,МУРМАШИ,Мурманская область,Октябрьская
48,1720,КОЛА-Э,КОЛА (ЭКСП.),Мурманская область,Октябрьская
49,1730,ПЯЙВЕ,ПЯЙВЕ,Мурманская область,Октябрьская
50,1790,ЛУОСТАРИ,ЛУОСТАРИ,Мурманская область,Октябрьская
51,1800,ПЕЧЕНГА,ПЕЧЕНГА,Мурманская область,Октябрьская
52,1810,ЗАПОЛЯРНАЯ,ЗАПОЛЯРНАЯ,Мурманская область,Октябрьская
53,1820,НИКЕЛЬ-МУРМ,НИКЕЛЬ-МУРМАНСКИЙ,Мурманская область,Октябрьская
54,1830,МУРМАНСК-ПЕР,МУРМАНСК (ПЕРЕВ.),Мурманская область,Октябрьская
55,1840,МУРМАНСК,МУРМАНСК,Мурманская область,Октябрьская
56,1850,МУРМАНСК-Э,МУРМАНСК (ЭКСП.),Мурманская область,Октябрьская
57,1860,КОМСОМОЛ-МУР,КОМСОМОЛЬСК-МУРМАНСКИЙ,Мурманская область,Октябрьская
58,1900,ВАЕНГА,ВАЕНГА,Мурманская область,Октябрьская
59,2000,ВЫБОРГ,ВЫБОРГ,Ленинградская область,Октябрьская
60,2100,ТАММИСУО,ТАММИСУО,Ленинградская область,Октябрьская
61,2010,ВЫБОРГ-Э,ВЫБОРГ (ЭКСП.),Ленинградская область,Октябрьская
62,2020,ЕРМИЛОВО,ЕРМИЛОВО,Ленинградская область,Октябрьская
63,2030,ПРИМОРСК,ПРИМОРСК,Ленинградская область,Октябрьская
64,2040,ПРИБЫЛОВО,ПРИБЫЛОВО,Ленинградская область,Октябрьская
65,2050,СОВЕТСКИЙ,СОВЕТСКИЙ,Ленинградская область,Октябрьская
66,2060,ВЫСОЦК,ВЫСОЦК,Ленинградская область,Октябрьская
67,2070,ВЫСОЦК-Э,ВЫСОЦК (ЭКСП.),Ленинградская область,Октябрьская
68,2080,КИРИЛЛОВСКОЕ,КИРИЛЛОВСКОЕ,Ленинградская область,Октябрьская
69,2090,ГАВРИЛОВО,ГАВРИЛОВО,Ленинградская область,Октябрьская
70,2120,ВЕРХНЕЧЕРКАС,ВЕРХНЕЧЕРКАСОВО,Ленинградская область,Октябрьская
71,2140,БУСЛОВСКАЯ-Э,БУСЛОВСКАЯ (ЭКСП.),Ленинградская область,Октябрьская
72,2150,ПРИГОРОДНАЯ,ПРИГОРОДНАЯ,Ленинградская область,Октябрьская
73,2160,ВОЗРОЖДЕНИЕ,ВОЗРОЖДЕНИЕ,Ленинградская область,Октябрьская
74,2170,КАМЕННОГОРСК,КАМЕННОГОРСК,Ленинградская область,Октябрьская
75,2180,СВЕТОГОРСК,СВЕТОГОРСК,Ленинградская область,Октябрьская
76,2190,СВЕТОГОРСК-Э,СВЕТОГОРСК (ЭКСП.),Ленинградская область,Октябрьская
77,2200,ЛЕСОГОРСКИЙ,ЛЕСОГОРСКИЙ,Ленинградская область,Октябрьская
78,2210,ПРУДЫ,ПРУДЫ,Ленинградская область,Октябрьская
79,2220,КРАСНЫЙ СОКОЛ,КРАСНЫЙ СОКОЛ,Ленинградская область,Октябрьская
80,2230,БОРОДИНСКОЕ,БОРОДИНСКОЕ,Ленинградская область,Октябрьская
81,2240,ХИЙТОЛА,ХИЙТОЛА,Республика Карелия,Октябрьская
82,2250,БОРОВИНКА,БОРОВИНКА,Ленинградская область,Октябрьская
83,2270,ГРОМОВО,ГРОМОВО,Ленинградская область,Октябрьская
84,2300,ПРИОЗЕРСК,ПРИОЗЕРСК,Ленинградская область,Октябрьская
85,2310,КУЗНЕЧНОЕ,КУЗНЕЧНОЕ,Ленинградская область,Октябрьская
86,2320,ЭЛИСЕНВААРА,ЭЛИСЕНВААРА,Республика Карелия,Октябрьская
87,2340,ВЫБОРГ-ПЕР,ВЫБОРГ (ПЕРЕВ.),Ленинградская область,Октябрьская
88,2350,ВЫСОЦК-ПЕР,ВЫСОЦК (ПЕРЕВ.),Ленинградская область,Октябрьская
89,2360,ЯККИМА,ЯККИМА,Республика Карелия,Октябрьская
90,2370,СОРТАВАЛА,СОРТАВАЛА,Республика Карелия,Октябрьская
91,2380,ХЕЛЮЛЯ,ХЕЛЮЛЯ,Республика Карелия,Октябрьская
92,2390,КААЛАМО,КААЛАМО,Республика Карелия,Октябрьская
93,2400,МАТКАСЕЛЬКЯ,МАТКАСЕЛЬКЯ,Республика Карелия,Октябрьская
94,2410,ВЯРТСИЛЯ,ВЯРТСИЛЯ,Республика Карелия,Октябрьская
95,2420,ВЯРТСИЛЯ-Э,ВЯРТСИЛЯ (ЭКСП.),Республика Карелия,Октябрьская
96,2440,ОЛОНЕЦ,ОЛОНЕЦ,Республика Карелия,Октябрьская
97,2480,ПИТКЯРАНТА,ПИТКЯРАНТА,Республика Карелия,Октябрьская
98,2490,ЛЕППЯСИЛТА,ЛЕППЯСИЛТА,Республика Карелия,Октябрьская
99,2500,ЛЯСКЕЛЯ,ЛЯСКЕЛЯ,Республика Карелия,Октябрьская
100,2510,ХАРЛУ,ХАРЛУ,Республика Карелия,Октябрьская
101,2530,ЧАЛНА-ОНЕЖСК,ЧАЛНА-ОНЕЖСКАЯ,Республика Карелия,Октябрьская
102,2540,ПАДОЗЕРО,ПАДОЗЕРО,Республика Карелия,Октябрьская
103,2550,ЭССОЙЛА,ЭССОЙЛА,Республика Карелия,Октябрьская
104,2560,ИМАТОЗЕРО,ИМАТОЗЕРО,Республика Карелия,Октябрьская
105,2570,НОВЫЕ ПЕСКИ,НОВЫЕ ПЕСКИ,Республика Карелия,Октябрьская
106,2580,СУОЯРВИ I,СУОЯРВИ I,Республика Карелия,Октябрьская
107,2590,ПИЙТСИЕКИ,ПИЙТСИЕКИ,Республика Карелия,Октябрьская
108,2600,ЛОЙМОЛА,ЛОЙМОЛА,Республика Карелия,Октябрьская
109,2610,РАЙКОНКОСКИ,РАЙКОНКОСКИ,Республика Карелия,Октябрьская
110,2620,ЛЕППЯСЮРЬЯ,ЛЕППЯСЮРЬЯ,Республика Карелия,Октябрьская
111,2630,СУОЯРВИ II,СУОЯРВИ II,Республика Карелия,Октябрьская
112,2640,НАЙСТЕНЪЯРВИ,НАЙСТЕНЪЯРВИ,Республика Карелия,Октябрьская
113,2650,ЛАХКОЛАМЕН,ЛАХКОЛАМЕН,Республика Карелия,Октябрьская
114,2670,ПОРОСОЗЕРО,ПОРОСОЗЕРО,Республика Карелия,Октябрьская
115,2680,АКОНЪЯРВИ,АКОНЪЯРВИ,Республика Карелия,Октябрьская
116,2710,ГИМОЛЬСКАЯ,ГИМОЛЬСКАЯ,Республика Карелия,Октябрьская
117,2700,СУККОЗЕРО,СУККОЗЕРО,Республика Карелия,Октябрьская
118,2740,ПЕНИНГА,ПЕНИНГА,Республика Карелия,Октябрьская
119,2770,ЛЕДМОЗЕРО,ЛЕДМОЗЕРО,Республика Карелия,Октябрьская
120,2780,КОСТОМУК-ТОВ,КОСТОМУКША-ТОВАРНАЯ,Республика Карелия,Октябрьская
121,2790,КОСТОМУК-ПАС,КОСТОМУКША-ПАССАЖИРСКАЯ,Республика Карелия,Октябрьская
122,2800,КИВИЯРВИ,КИВИЯРВИ,Республика Карелия,Октябрьская
123,2810,КИВИЯРВИ-Э,КИВИЯРВИ (ЭКСП.),Республика Карелия,Октябрьская
124,2850,БУСЛОВСКАЯ,БУСЛОВСКАЯ,Ленинградская область,Октябрьская
125,3000,СПБ-СОРТ-МОСК,САНКТ-ПЕТЕРБУРГ-СОРТ-МОСКОВСКИЙ,Город Санкт-Петербург город федерального значения,Октябрьская
126,3010,НЕВДУБСТРОЙ,НЕВДУБСТРОЙ,Ленинградская область,Октябрьская
127,3020,МГА,МГА,Ленинградская область,Октябрьская
128,3040,ПАВЛОВО-НА-Н,ПАВЛОВО-НА-НЕВЕ,Ленинградская область,Октябрьская
129,3050,МАНУШКИНО,МАНУШКИНО,Ленинградская область,Октябрьская
130,3060,ПЕЛЛА,ПЕЛЛА,Ленинградская область,Октябрьская
131,3070,САПЕРНАЯ,САПЕРНАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
132,3080,ИЖОРЫ,ИЖОРЫ,Город Санкт-Петербург город федерального значения,Октябрьская
133,3090,РЫБАЦКОЕ,РЫБАЦКОЕ,Город Санкт-Петербург город федерального значения,Октябрьская
134,3100,ОБУХОВО,ОБУХОВО,Город Санкт-Петербург город федерального значения,Октябрьская
135,3120,УШАКИ,УШАКИ,Ленинградская область,Октябрьская
136,3130,ТОСНО,ТОСНО,Ленинградская область,Октябрьская
137,3150,ШАПКИ,ШАПКИ,Ленинградская область,Октябрьская
138,3160,КОЛПИНО,КОЛПИНО,Город Санкт-Петербург город федерального значения,Октябрьская
139,3180,СПБ-ТОВ-МОСК,САНКТ-ПЕТЕРБУРГ-ТОВ-МОСКОВСКИЙ,Город Санкт-Петербург город федерального значения,Октябрьская
140,3210,ПУСТЫНЬКА,ПУСТЫНЬКА,Ленинградская область,Октябрьская
141,3230,НОВОЛИСИНО,НОВОЛИСИНО,Ленинградская область,Октябрьская
142,3240,АНТРОПШИНО,АНТРОПШИНО,Ленинградская область,Октябрьская
143,3250,ПАВЛОВСК,ПАВЛОВСК,Город Санкт-Петербург город федерального значения,Октябрьская
144,3270,ЦАРСКОЕ СЕЛО,ЦАРСКОЕ СЕЛО,Город Санкт-Петербург город федерального значения,Октябрьская
145,3290,ШУШАРЫ-Э,ШУШАРЫ (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
146,3300,ШУШАРЫ,ШУШАРЫ,Город Санкт-Петербург город федерального значения,Октябрьская
147,3310,КУПЧИНСКАЯ,КУПЧИНСКАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
148,3340,ВОЛКОВСКАЯ,ВОЛКОВСКАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
149,3350,СПБ-ТОВ-ВИТЕБСКИЙ,САНКТ-ПЕТЕРБУРГ-ТОВ-ВИТЕБСКИЙ,Город Санкт-Петербург город федерального значения,Октябрьская
150,3360,ДАЧА ДОЛ-ПЕР,ДАЧА ДОЛГОРУКОВА (ПЕРЕВ.),Город Санкт-Петербург город федерального значения,Октябрьская
151,3380,ФРЕЗЕРНЫЙ,ФРЕЗЕРНЫЙ,Ленинградская область,Октябрьская
152,3400,ГАТЧИНА-Т-БАЛТ,ГАТЧИНА-ТОВАРНАЯ-БАЛТИЙСКАЯ,Ленинградская область,Октябрьская
153,3410,ГАТЧИНА-П-БАЛТ,ГАТЧИНА-ПАССАЖИРСКАЯ-БАЛТИЙСКАЯ,Ленинградская область,Октябрьская
154,3420,ТАЙЦЫ,ТАЙЦЫ,Ленинградская область,Октябрьская
155,3430,КРАСНОЕ СЕЛО,КРАСНОЕ СЕЛО,Город Санкт-Петербург город федерального значения,Октябрьская
156,3440,ГОРЕЛОВО,ГОРЕЛОВО,Город Санкт-Петербург город федерального значения,Октябрьская
157,3450,ЛИГОВО,ЛИГОВО,Город Санкт-Петербург город федерального значения,Октябрьская
158,3470,ВЕРЕВО,ВЕРЕВО,Ленинградская область,Октябрьская
159,3480,АЛЕКСАНДРОВСКАЯ,АЛЕКСАНДРОВСКАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
160,3490,СРЕДНЕРОГАТ,СРЕДНЕРОГАТСКАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
161,3500,ПРЕДПОРТОВАЯ,ПРЕДПОРТОВАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
162,3510,НОВЫЙ ПОРТ-П,НОВЫЙ ПОРТ (ПЕРЕВ.),Город Санкт-Петербург город федерального значения,Октябрьская
163,3520,ЦВЕТОЧНАЯ,ЦВЕТОЧНАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
164,3540,АВТОВО-ПЕР,АВТОВО (ПЕРЕВ.),Город Санкт-Петербург город федерального значения,Октябрьская
165,3550,АВТОВО,АВТОВО,Город Санкт-Петербург город федерального значения,Октябрьская
166,3560,АВТОВО-Э,АВТОВО (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
167,3570,НАРВСКАЯ,НАРВСКАЯ,Город Санкт-Петербург город федерального значения,Октябрьская
168,3580,НОВЫЙ ПОРТ,НОВЫЙ ПОРТ,Город Санкт-Петербург город федерального значения,Октябрьская
169,3590,НОВЫЙ ПОРТ-Э,НОВЫЙ ПОРТ (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
170,3600,СПБ-БАЛТИЙСКИЙ,САНКТ-ПЕТЕРБУРГ-БАЛТИЙСКИЙ,Город Санкт-Петербург город федерального значения,Октябрьская
171,3610,МЕЛЬН РУЧЕЙ,МЕЛЬНИЧНЫЙ РУЧЕЙ,Ленинградская область,Октябрьская
172,3630,БОРИСОВА ГР,БОРИСОВА ГРИВА,Ленинградская область,Октябрьская
173,3640,КИРПИЧНЫЙ З-Д,КИРПИЧНЫЙ ЗАВОД,Ленинградская область,Октябрьская
174,3650,ПЕТРОКРЕПОСТЬ,ПЕТРОКРЕПОСТЬ,Ленинградская область,Октябрьская
175,3660,НЕВСКАЯ ДУБР,НЕВСКАЯ ДУБРОВКА,Ленинградская область,Октябрьская
176,3670,ДАЧА ДОЛ-Э,ДАЧА ДОЛГОРУКОВА (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
177,3680,НЕВА,НЕВА,Город Санкт-Петербург город федерального значения,Октябрьская
178,3690,ЗАНЕВСК ПОСТ,ЗАНЕВСКИЙ ПОСТ,Город Санкт-Петербург город федерального значения,Октябрьская
179,3700,РЖЕВКА,РЖЕВКА,Город Санкт-Петербург город федерального значения,Октябрьская
180,3710,ДАЧА ДОЛГОР (ЛАДВОКЗАЛ),ДАЧА ДОЛГОРУКОВА (ЛАДОЖСКИЙ ВОКЗАЛ),Город Санкт-Петербург город федерального значения,Октябрьская
181,3720,ЗАНЕВС П-Э,ЗАНЕВСКИЙ ПОСТ (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
182,3730,ПОЛЮСТРОВО,ПОЛЮСТРОВО,Город Санкт-Петербург город федерального значения,Октябрьская
183,3740,КУШЕЛЕВКА,КУШЕЛЕВКА,Город Санкт-Петербург город федерального значения,Октябрьская
184,3750,СОСНОВО,СОСНОВО,Ленинградская область,Октябрьская
185,3760,ГРУЗИНО,ГРУЗИНО,Ленинградская область,Октябрьская
186,3770,ПЕРИ,ПЕРИ,Ленинградская область,Октябрьская
187,3780,ОРЕХОВО,ОРЕХОВО,Ленинградская область,Октябрьская
188,3790,ТОКСОВО,ТОКСОВО,Ленинградская область,Октябрьская
189,3800,КАПИТОЛОВО,КАПИТОЛОВО,Ленинградская область,Октябрьская
190,3810,РУЧЬИ,РУЧЬИ,Город Санкт-Петербург город федерального значения,Октябрьская
191,3820,СПБ-ФИНЛ,САНКТ-ПЕТЕРБУРГ-ФИНЛЯНДСКИЙ,Город Санкт-Петербург город федерального значения,Октябрьская
192,3830,ПАРНАС,ПАРНАС,Город Санкт-Петербург город федерального значения,Октябрьская
193,3850,ШУВАЛОВО,ШУВАЛОВО,Город Санкт-Петербург город федерального значения,Октябрьская
194,3870,ЛИСИЙ НОС-Э,ЛИСИЙ НОС (ЭКСП.),Город Санкт-Петербург город федерального значения,Октябрьская
195,3880,ЛЕВАШОВО,ЛЕВАШОВО,Город Санкт-Петербург город федерального значения,Октябрьская
196,3890,НОВ ДЕРЕВНЯ,НОВАЯ ДЕРЕВНЯ,Город Санкт-Петербург город федерального значения,Октябрьская
197,3900,ЛИСИЙ НОС,ЛИСИЙ НОС,Город Санкт-Петербург город федерального значения,Октябрьская
198,3920,БЕЛООСТРОВ,БЕЛООСТРОВ,Город Санкт-Петербург город федерального значения,Октябрьская
199,3930,ЗЕЛЕНОГОРСК,ЗЕЛЕНОГОРСК,Город Санкт-Петербург город федерального значения,Октябрьская
200,3940,РОЩИНО,РОЩИНО,Ленинградская область,Октябрьская
201,3960,КАННЕЛЬЯРВИ,КАННЕЛЬЯРВИ,Ленинградская область,Октябрьская
202,3970,ПРИВЕТНЕНСК,ПРИВЕТНЕНСКОЕ,Ленинградская область,Октябрьская
203,4000,ВОЛХОВСТР I,ВОЛХОВСТРОЙ I,Ленинградская область,Октябрьская
204,4010,ВЕЛ НОВГОРОД,ВЕЛИКИЙ НОВГОРОД,Новгородская область,Октябрьская
205,4070,ПОДБЕРЕЗЬЕ,ПОДБЕРЕЗЬЕ,Новгородская область,Октябрьская
206,4110,БОРОВЕНКА,БОРОВЕНКА,Новгородская область,Октябрьская
207,4120,ТОРБИНО,ТОРБИНО,Новгородская область,Октябрьская
208,4160,МАЛАЯ ВИШЕРА,МАЛАЯ ВИШЕРА,Новгородская область,Октябрьская
209,4200,ЧУДОВО-МОСК,ЧУДОВО-МОСКОВСКОЕ,Новгородская область,Октябрьская
210,4210,ИРСА,ИРСА,Ленинградская область,Октябрьская
211,4220,ТОРФЯНОЕ,ТОРФЯНОЕ,Новгородская область,Октябрьская
212,4240,ЛЮБАНЬ,ЛЮБАНЬ,Ленинградская область,Октябрьская
213,4250,РЯБОВО,РЯБОВО,Ленинградская область,Октябрьская
214,4270,ДЫНИНО,ДЫНИНО,Тверская область,Октябрьская
215,4280,САНДОВО,САНДОВО,Тверская область,Октябрьская
216,4290,ПЕСТОВО,ПЕСТОВО,Новгородская область,Октябрьская
217,4320,КАБОЖА,КАБОЖА,Новгородская область,Октябрьская
218,4350,ЧАГОДА,ЧАГОДА,Вологодская область,Октябрьская
219,4360,ОГАРЕВО,ОГАРЕВО,Вологодская область,Октябрьская
220,4380,КУШАВЕРА,КУШАВЕРА,Новгородская область,Октябрьская
221,4390,ХВОЙНАЯ,ХВОЙНАЯ,Новгородская область,Октябрьская
222,4400,ПЕСЬ,ПЕСЬ,Новгородская область,Октябрьская
223,4410,СОМИНКА,СОМИНКА,Новгородская область,Октябрьская
224,4420,АНЦИФЕРОВО-МОЛ,АНЦИФЕРОВО-МОЛОГСКОЕ,Новгородская область,Октябрьская
225,4430,КИПРИЯ,КИПРИЯ,Новгородская область,Октябрьская
226,4450,НЕБОЛЧИ,НЕБОЛЧИ,Новгородская область,Октябрьская
227,4500,БУДОГОЩЬ,БУДОГОЩЬ,Ленинградская область,Октябрьская
228,4510,ПЧЕВЖА,ПЧЕВЖА,Ленинградская область,Октябрьская
229,4520,КИРИШИ,КИРИШИ,Ленинградская область,Октябрьская
230,4550,ГЛАЖЕВО,ГЛАЖЕВО,Ленинградская область,Октябрьская
231,4560,АНДРЕЕВО,АНДРЕЕВО,Ленинградская область,Октябрьская
232,4580,МАЛУКСА,МАЛУКСА,Ленинградская область,Октябрьская
233,4600,СУДА,СУДА,Вологодская область,Октябрьская
234,4610,КАДУЙ,КАДУЙ,Вологодская область,Октябрьская
235,4640,БАБАЕВО,БАБАЕВО,Вологодская область,Октябрьская
236,4650,ТЕШЕМЛЯ,ТЕШЕМЛЯ,Вологодская область,Октябрьская
237,4660,ВЕРХНЕВОЛЬСКИЙ,ВЕРХНЕВОЛЬСКИЙ,Вологодская область,Октябрьская
238,4670,ЗАБОРЬЕ,ЗАБОРЬЕ,Ленинградская область,Октябрьская
239,4680,ПОДБОРОВЬЕ,ПОДБОРОВЬЕ,Ленинградская область,Октябрьская
240,4690,ОНЕЖСКИЙ-ПЕР,ОНЕЖСКИЙ (ПЕРЕВ.),Республика Карелия,Октябрьская
241,4700,ЕФИМОВСКАЯ,ЕФИМОВСКАЯ,Ленинградская область,Октябрьская
242,4710,КОЛИ,КОЛИ,Ленинградская область,Октябрьская
243,4720,ПИКАЛЕВО II,ПИКАЛЕВО II,Ленинградская область,Октябрьская
244,4730,ПИКАЛЕВО I,ПИКАЛЕВО I,Ленинградская область,Октябрьская
245,4740,БОЛЬШОЙ ДВОР,БОЛЬШОЙ ДВОР,Ленинградская область,Октябрьская
246,4750,ТИХВИН,ТИХВИН,Ленинградская область,Октябрьская
247,4790,ЛОД ПОЛЕ-ПЕР,ЛОДЕЙНОЕ ПОЛЕ (ПЕРЕВ.),Ленинградская область,Октябрьская
248,4800,ВОЛХОВСТР II,ВОЛХОВСТРОЙ II,Ленинградская область,Октябрьская
249,4820,ВОЙБОКАЛО,ВОЙБОКАЛО,Ленинградская область,Октябрьская
250,4830,СВИРЬ-ПЕР,СВИРЬ (ПЕРЕВ.),Ленинградская область,Октябрьская
251,4840,ЖИХАРЕВО,ЖИХАРЕВО,Ленинградская область,Октябрьская
252,4850,МУРМ ВОРОТА,МУРМАНСКИЕ ВОРОТА,Ленинградская область,Октябрьская
253,4860,КОЛЧАНОВО,КОЛЧАНОВО,Ленинградская область,Октябрьская
254,4870,ЛУНГАЧИ,ЛУНГАЧИ,Ленинградская область,Октябрьская
255,4890,ПАША,ПАША,Ленинградская область,Октябрьская
256,4900,ОЯТЬ-ВОЛХОВ,ОЯТЬ-ВОЛХОВСТРОЕВСКИЙ,Ленинградская область,Октябрьская
257,4910,ЛОДЕЙН ПОЛЕ,ЛОДЕЙНОЕ ПОЛЕ,Ленинградская область,Октябрьская
258,4920,ЯНЕГА,ЯНЕГА,Ленинградская область,Октябрьская
259,4930,ПОДПОРОЖЬЕ,ПОДПОРОЖЬЕ,Ленинградская область,Октябрьская
260,4940,СВИРЬ,СВИРЬ,Ленинградская область,Октябрьская
261,4950,ТОКАРИ,ТОКАРИ,Ленинградская область,Октябрьская
262,4970,ЛАДВА,ЛАДВА,Республика Карелия,Октябрьская
263,4960,ПЯЖИЕВА СЕЛ,ПЯЖИЕВА СЕЛЬГА,Республика Карелия,Октябрьская
264,4980,ДЕРЕВЯНКА,ДЕРЕВЯНКА,Республика Карелия,Октябрьская
265,4990,ОНЕЖСКИЙ,ОНЕЖСКИЙ,Республика Карелия,Октябрьская
266,5000,БОЛОГОЕ-МОСК,БОЛОГОЕ-МОСКОВСКОЕ,Тверская область,Октябрьская
267,5010,БОЛОГОЕ-ПОЛ,БОЛОГОЕ-ПОЛОЦКОЕ,Тверская область,Октябрьская
268,5030,САВЕЛОВО,САВЕЛОВО,Тверская область,Октябрьская
269,5040,БЕЛЫЙ ГОРОД,БЕЛЫЙ ГОРОДОК,Тверская область,Октябрьская
270,5050,КАЛЯЗИН,КАЛЯЗИН,Тверская область,Октябрьская
271,5060,УГЛИЧ,УГЛИЧ,Ярославская область,Октябрьская
272,5080,КАШИН,КАШИН,Тверская область,Октябрьская
273,5100,КЕСОВА ГОРА,КЕСОВА ГОРА,Тверская область,Октябрьская
274,5110,СОНКОВО,СОНКОВО,Тверская область,Октябрьская
275,5130,КРАСНЫЙ ХОЛМ,КРАСНЫЙ ХОЛМ,Тверская область,Октябрьская
276,5160,ВЕСЬЕГОНСК,ВЕСЬЕГОНСК,Тверская область,Октябрьская
277,5170,БЕЖЕЦК,БЕЖЕЦК,Тверская область,Октябрьская
278,5180,ШИШКОВО,ШИШКОВО,Тверская область,Октябрьская
279,5190,МАКСАТИХА,МАКСАТИХА,Тверская область,Октябрьская
280,5200,МАЛЫШЕВО,МАЛЫШЕВО,Тверская область,Октябрьская
281,5210,БРУСОВО,БРУСОВО,Тверская область,Октябрьская
282,5220,ЕРЕМКОВО,ЕРЕМКОВО,Тверская область,Октябрьская
283,5230,УДОМЛЯ,УДОМЛЯ,Тверская область,Октябрьская
284,5250,МСТА,МСТА,Тверская область,Октябрьская
285,5260,КАФТИНО,КАФТИНО,Тверская область,Октябрьская
286,5270,МЕДВЕДЕВО,МЕДВЕДЕВО,Тверская область,Октябрьская
287,5280,БУШЕВЕЦ,БУШЕВЕЦ,Тверская область,Октябрьская
288,5300,БЕРЕЗАЙКА,БЕРЕЗАЙКА,Тверская область,Октябрьская
289,5310,АЛЕШИНКА,АЛЕШИНКА,Тверская область,Октябрьская
